,Country.of.Origin,Region,Owner.1,Variety,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points
638,Brazil,campos altos - cerrado,BOURBON SPECIALTY COFFEES,,7.42,7.42,7.5,7.33,7.25,7.67,10,10,10,82.58
639,Indonesia,aceh,Andry Simarmata,Typica,7.83,7.58,7.42,7.33,7.42,7.5,10,10,10,82.58
640,Thailand,thailand,Doi Tung Development Project,,7.75,7.33,7.42,7.67,7.42,7.5,10,10,10,82.58
641,Thailand,chiangrai,松澤宏樹 Koju Matsuzawa,Caturra,7.42,7.58,7.58,7.42,7.58,7.5,10,10,10,82.58
642,"Tanzania, United Republic Of",ikand village,Tembo Coffee Company Ltd,Other,7.75,7.42,7.33,7.5,7.58,7.5,10,10,10,82.58
643,Uganda,eastern,Kawacom Uganda LTD,SL14,7.83,7.5,7.42,7.58,7.42,7.42,10,10,10,82.58
644,Costa Rica,central valley,Eric Thormaehlen,Catuai,7.67,7.42,7.5,7.67,7,7.75,10,10,10,82.58
645,Mexico,veracruz,Dane Loraas,,7.58,7.58,7.42,7.75,7.67,7.67,9.33,10,10,82.58
646,Guatemala,,Brent Hall,,7.5,7.58,7.42,7.58,7.42,7.58,10,10,10,82.58
647,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.75,7.25,7.33,7.42,7.5,7.83,10,10,10,82.58
648,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.75,7.5,7.75,7.25,7.33,7.58,10,10,10,82.58
649,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.58,7.5,7.42,7.58,7.67,7.42,10,10,10,82.58
650,Mexico,oaxaca,GUILLERMO ROJAS SALDANA,Typica,7.5,7.58,7.5,7.5,7.42,7.5,10,10,10,82.58
651,Mexico,colima,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,7.67,7.58,7.58,7.75,7.67,6.83,10,10,10,82.58
652,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.33,7.42,7.58,7.42,7.67,7.5,10,10,10,82.58
653,Brazil,south of minas,NUCOFFEE,Mundo Novo,7.58,7.5,7.33,7.75,7.5,7.5,10,10,10,82.58
654,Brazil,south of minas,Ipanema Coffees,Bourbon,7.5,7.5,7.5,7.5,7.58,7.5,10,10,10,82.5
655,Indonesia,bali,SanJava Coffee,Other,7.83,7.75,7.25,7.5,7.42,7.33,10,10,10,82.5
656,Honduras,comayagua,Elsy Reyes,Caturra,7.58,7.58,7.33,7.5,7.5,7.5,10,10,10,82.5
657,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.5,7.5,7.33,7.5,7.67,7.5,10,10,10,82.5
658,Thailand,thailand,Doi Tung Development Project,,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10,10,82.5
659,Thailand,chiangrai,松澤宏樹 Koju Matsuzawa,Caturra,7.33,7.5,7.5,7.5,7.67,7.5,10,10,10,82.5
660,"Tanzania, United Republic Of",karatu arusha,Shah Plantations,Other,7.67,7.42,7.33,7.58,7.5,7.5,10,10,10,82.5
661,"Tanzania, United Republic Of",moshi,Amkeni Gourmet Coffee Group,Other,7.75,7,7.42,7.58,7.58,7.58,10,10,10,82.5
662,Mexico,chiapas,LUSSO LAB,Other,7.42,7.58,7.5,7.67,7.25,7.5,10,10,10,82.5
663,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.42,7.5,7.67,7.33,7.42,7.67,10,10,10,82.5
664,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.83,7.42,7.33,7.67,7.42,7.5,10,10,10,82.5
665,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.5,7.5,7.42,7.42,7.58,7.58,10,10,10,82.5
666,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.83,7.67,7.17,7.33,7.5,7.67,10,10,10,82.5
667,Mexico,san bartolo tutotepec,SAUL M. HERNANDEZ RAMIREZ,Typica,7.5,7.58,7.5,7.5,7.42,7.42,10,10,10,82.5
668,Mexico,zapotitlan de mendez,ENRIQUE MITRE LOPEZ,Typica,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,82.5
669,Mexico,la concordia,Enrique Eduardo Lopez Aguilar,Typica,7.92,7.5,7.33,7.58,7.25,7.42,10,10,10,82.5
670,Guatemala,oriente,Juan Luis Alvarado Romero,Caturra,7.67,7.33,7.33,7.33,7.5,7.83,10,10,10,82.5
671,Brazil,carmo de minas,Jacques Pereira Carneiro,Bourbon,7.67,7.42,7.33,7.67,7.5,7.5,10,10,10,82.5
672,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.67,7.5,7.33,7.5,7.25,7.67,10,10,10,82.5
673,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.33,7.42,7.33,7.75,7.42,7.67,10,10,10,82.5
674,Guatemala,huehuetenango,Adam Kline,,7.75,7.58,7.67,7.67,7.58,7.58,9.33,10,10,82.5
675,Honduras,"comayagua, honduras",Brian Beck,Other,7.42,7.67,7.17,7.58,7.58,7.5,10,10,10,82.42
676,Guatemala,san marcos,Juan Luis Alvarado Romero,Bourbon,7.58,7.5,7.33,7.75,7.33,7.5,10,10,10,82.42
677,Guatemala,san marcos,Juan Luis Alvarado Romero,Bourbon,7.67,7.58,7.25,7.67,7.42,7.33,10,10,10,82.42
678,Guatemala,el progreso,Juan Luis Alvarado Romero,Bourbon,7.58,7.5,7.25,7.67,7.5,7.5,10,10,10,82.42
679,Guatemala,santa rosa,Juan Luis Alvarado Romero,Caturra,7.5,7.42,7.08,7.75,7.67,7.5,10,10,10,82.42
680,Colombia,guayata,Racafe & Cia S.C.A,Caturra,5.08,7.75,7.83,7.75,7.83,8.08,10,10,10,82.42
681,China,yunnan,Yunnan Coffee Exchange,Catimor,7.67,7.42,7.42,7.5,7.42,7.42,10,10,10,82.42
682,Brazil,campos altos - cerrado,BOURBON SPECIALTY COFFEES,,7.42,7.5,7.33,7.5,7.25,7.42,10,10,10,82.42
683,"Tanzania, United Republic Of",arusha meru,Gladness Obed Pallangyo,Ruiru 11,7.67,7.25,7.42,7.42,7.67,7.42,10,10,10,82.42
684,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.17,7.83,7.33,7.5,7.75,7.42,10,10,10,82.42
685,Guatemala,atitlan,The Coffee Source Inc.,Caturra,7.5,7.5,7.5,7.67,7.42,7.5,10,10,10,82.42
686,Mexico,la yerba,PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Typica,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,82.42
687,Brazil,south of minas,NUCOFFEE,Catuai,7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,82.42
688,Peru,peru,Dane Loraas,,7.58,7.58,7.58,7.75,7.5,7.58,9.33,10,10,82.42
689,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.25,7.33,7.25,7.5,7.42,7.5,10,10,10,82.42
690,Mexico,veracruz,MANUEL HERRERA JUAREZ,Bourbon,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10,10,82.42
691,Honduras,,Brent Hall,,7.25,7.67,7.42,7.17,7.75,7.5,10,10,10,82.42
692,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.67,7.42,7.33,7.5,7.58,7.5,10,10,10,82.42
693,Mexico,chiapas,NESTOR MENDEZ GOMEZ,Typica,7.5,7.42,7.42,7.67,7.42,7.58,10,10,10,82.42
694,Mexico,san pedro cotzilnam,JESUS SALAZAR VELASCO,Typica,7.42,7.58,7.5,7.42,7.58,7.5,10,10,10,82.42
695,Mexico,coatepec,"El Equimite, Cafetal Biodinámico",Typica,7.42,7.58,7.33,7.58,7.5,7.5,10,10,10,82.42
696,Mexico,xalapa,MANUEL HERRERA JUAREZ,Caturra,7.75,7.33,7.25,7.58,7.58,7.33,10,10,10,82.42
697,Mexico,zihuatanejo de azueta,DARIO CESAR GALEANA SANCHEZ,Typica,7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,82.42
698,Mexico,veracruz,JOSE DANIEL COBILT CASTRO,Pacamara,7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,82.42
699,Mexico,xicotepec de juarez,ALVARO QUIROS PEREZ,Caturra,7.58,7.33,7.33,7.58,7.5,7.5,10,10,10,82.42
700,Mexico,progreso santa rosa teocelo,OLIVIA HERNANDEZ VIRVES,Bourbon,7.67,7.58,7.33,7.42,7.58,7.33,10,10,10,82.42
701,Mexico,fln mirador,FINCA LAS NIEVES,Typica,7.83,7.5,7.42,7.67,7.17,7.33,10,10,10,82.42
702,Colombia,huila,CARCAFE LTDA CI,Caturra,7.67,7.33,7.25,7.42,7.5,7.67,10,10,10,82.42
703,Brazil,south of minas,NUCOFFEE,Arusha,7.75,7.5,7.42,7.42,7.5,7.42,10,10,10,82.42
704,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.33,7.58,7.17,7.58,7.42,7.58,10,10,10,82.42
705,Colombia,huila,Exportadora de Cafe Condor S.A,,7.58,7.25,7.42,7.25,7.58,7.83,10,10,10,82.42
706,Honduras,comayagua,Bismarck Castro,Caturra,7.5,7.58,7.33,7.5,7.42,7.42,10,10,10,82.33
707,Brazil,cerrado,Pedro Santos e Silva,Catuai,7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,82.33
708,Brazil,cerrado,Gabriel Barbara,,7.42,7.42,7.42,7.5,7.5,7.58,10,10,10,82.33
709,Brazil,south of minas,Ipanema Coffees,Bourbon,7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,82.33
710,Costa Rica,tarrazu,"CECA, S.A.",Caturra,7.75,7.5,7.25,7.25,7.42,7.67,10,10,10,82.33
711,Costa Rica,tarrazu,Rodrigo Soto,Catuai,7.75,7.33,7.5,7.5,7.33,7.58,10,10,10,82.33
712,China,xishuangbanna prefecture,Yunnan Coffee Exchange,Catimor,7.5,7.58,7.42,7.5,7.42,7.42,10,10,10,82.33
713,Brazil,south of minas,Ipanema Coffees,Bourbon,8.25,7.83,7.25,8.33,8.17,8.08,10,6.67,10,82.33
714,Brazil,chapadão de ferro (cerrado mineiro),BOURBON SPECIALTY COFFEES,Mundo Novo,7.42,7.5,7.5,7.42,7.5,7.58,10,10,10,82.33
715,Guatemala,huehuetenango,Juan Luis Alvarado Romero,Bourbon,7.5,7.42,7.17,7.83,7.5,7.5,10,10,10,82.33
716,Malawi,mzuzu,AFCA,Gesha,7.33,7.58,7.42,7.58,7.33,7.5,10,10,10,82.33
717,Brazil,south of minas,Ipanema Coffees,Bourbon,7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,82.33
718,Guatemala,jalapa,Juan Luis Alvarado Romero,Pacas,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10,10,82.33
719,Mexico,veracruz,Dane Loraas,,7.33,7.58,7.42,7.5,7.5,7.5,10,10,10,82.33
720,Colombia,antioquia,The Coffee Source Inc.,Caturra,7.42,7.33,7.5,7.17,7.08,8.33,10,10,10,82.33
721,Taiwan,changhua baguashan 彰化市八卦山,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,82.33
722,Taiwan,taichung xinshe 台中市新社區,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,82.33
723,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.5,7.42,7.58,7.5,7.5,7.58,10,10,10,82.33
724,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.5,7.42,7.5,7.5,7.5,7.58,10,10,10,82.33
725,Mexico,"la concordia, chiapas",ALFREDO BOJALIL,Typica,7.67,7.5,7.42,7.5,7.42,7.42,10,10,10,82.33
726,Costa Rica,central valley,Michael Gavina,,7.92,7.58,7.25,7.75,7.92,7.58,9.33,9.33,10,82.33
727,Guatemala,jalapa,Juan Luis Alvarado Romero,Bourbon,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,82.33
728,Mexico,"jaltocan, hidalgo",SAUL M. HERNANDEZ RAMIREZ,Typica,7.58,7.67,7.58,7.33,7,7.58,10,10,10,82.33
729,Mexico,veracruz,MANUEL HERRERA JUAREZ,Bourbon,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,82.33
730,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,82.33
731,Brazil,grama valley,NUCOFFEE,Mundo Novo,7.58,7.5,7.42,7.5,7.5,7.42,10,10,10,82.33
732,Mexico,santa catarina juquila,MARIA LUISA DEL CARMEN ROJAS NARVAEZ,Typica,8,7.75,7.33,7.33,7.08,7.67,9.33,10,10,82.33
733,Brazil,south of minas,NUCOFFEE,Mundo Novo,7.58,7.58,7.25,7.58,7.42,7.5,10,10,10,82.33
734,Colombia,huila,CARCAFE LTDA CI,Caturra,7.83,7.58,7.33,7.25,7.58,7.42,10,10,10,82.33
735,Brazil,brazil matas de minas,KlemOrganics,Catuai,7.58,7.5,7.25,7.42,7.67,7.33,10,10,10,82.25
736,Taiwan,,CQI Taiwan ICP CQI台灣合作夥伴,,7,7.08,7,7.17,7,7,10,10,10,82.25
737,Guatemala,nuevo oriente,Juan Luis Alvarado Romero,Pacas,7.67,7.5,7.25,7.67,7.42,7.42,10,10,10,82.25
738,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.42,7.67,7.5,7.08,7.5,7.42,10,10,10,82.25
739,El Salvador,apaneca,Consejo Salvadoreño del Café,Bourbon,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,82.25
740,Honduras,marcala,CADEXSA,Catuai,7.58,7.5,7.42,7.58,7.42,7.42,10,10,10,82.25
741,Malawi,mzuzu,AFCA,Gesha,7.58,7.42,7.33,7.42,7.58,7.5,10,10,10,82.25
742,Brazil,south of minas,Ipanema Coffees,Bourbon,7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,82.25
743,Taiwan,nantou,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,82.25
744,Mexico,veracruz,JESUS CARLOS CARDENAS VALDIVIA,Mundo Novo,7.58,7.58,7.42,7.42,7.42,7.42,10,10,10,82.25
745,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.33,7.42,7.5,7.67,7.5,7.42,10,10,10,82.25
746,Mexico,"calnali, hidalgo",SAUL M. HERNANDEZ RAMIREZ,Bourbon,7.58,7.58,7.5,7.17,7.42,7.42,10,10,10,82.25
747,Guatemala,antigua,Juan Luis Alvarado Romero,Bourbon,7.5,7.5,7.33,7.58,7.67,7.33,10,10,10,82.25
748,Mexico,veracruz,MANUEL HERRERA JUAREZ,Bourbon,7.5,7.58,7.42,7.67,7.33,7.42,10,10,10,82.25
749,Mexico,juquila,GUILLERMO ROJAS SALDANA,Typica,7.67,7.58,7.33,7.5,7.42,7.42,10,10,10,82.25
750,El Salvador,,Adam Kline,Other,7.75,7.33,7.33,7.5,7.5,7.5,10,10,10,82.25
751,Mexico,veracruz,SERGIO DE LA VEQUIA BERNARDI,Typica,7.33,7.58,7.42,7.67,7.33,7.5,10,10,10,82.25
752,Mexico,canoas,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,82.25
753,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.5,7.42,7.67,7.33,7.58,7.33,10,10,10,82.25
754,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.67,7.33,7.33,7.33,7.5,7.5,10,10,10,82.25
755,Brazil,,NUCOFFEE,Arusha,7.67,7.58,7.42,7,7.5,7.58,10,10,10,82.25
756,Colombia,cauca,Racafe & Cia S.C.A,,7.17,7.25,7.58,7.25,7.58,7.67,10,10,10,82.25
757,Brazil,south of minas,Ipanema Coffees,Bourbon,7.42,7.42,7.5,7.42,7.42,7.5,10,10,10,82.17
758,Honduras,comayagua,Bismarck Castro,Caturra,7.5,7.5,7.17,7.42,7.5,7.5,10,10,10,82.17
759,Nicaragua,jinotega,"BENCAFE, S. A.",,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,82.17
760,"Tanzania, United Republic Of",ruvuma,Langiro Farm group,Bourbon,7.58,7.42,7.42,7.33,7.5,7.42,10,10,10,82.17
761,"Tanzania, United Republic Of",northern,IBERO COFFEE TRADING CO (T) LTD,Other,7.42,7.42,7.42,7.5,7.5,7.33,10,10,10,82.17
762,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,82.17
763,Thailand,thailand,Doi Tung Development Project,,7.42,7.42,7.17,7.75,7.25,7.67,10,10,10,82.17
764,Honduras,marcala,CADEXSA,Catuai,7.67,7.5,7.25,7.42,7.58,7.42,10,10,10,82.17
765,Guatemala,atitlan,EssenceCoffee,Bourbon,7.42,7.42,7.5,7.5,7.42,7.5,10,10,10,82.17
766,Brazil,cerrado,BOURBON SPECIALTY COFFEES,Mundo Novo,7.58,7.5,7.42,7.25,7.5,7.42,10,10,10,82.17
767,"Tanzania, United Republic Of","ilomba vilage, mbozi",Tembo Coffee Company Ltd,Other,7.75,7.42,7.42,7.58,7.33,7.42,10,10,10,82.17
768,Mexico,veracruz,J.ANDRADE,Other,7.42,7.33,7.17,7.42,7.33,8.17,10,10,10,82.17
769,Mexico,"la concordia, chiapas",LUSSO LAB,Other,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,82.17
770,Taiwan,yunlin 雲林縣石壁,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,82.17
771,Taiwan,"dongshan dist., tainan city 臺南市東山區","Lin, Che-Hao Krude 林哲豪",Typica,7.67,7.5,7.5,7.17,7.17,7.58,10,10,10,82.17
772,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.33,7.25,7.25,7.58,7.75,7.5,10,10,10,82.17
773,Mexico,san bartolo tutotepec,SAUL M. HERNANDEZ RAMIREZ,Typica,7.5,7.67,7,7.5,7.33,7.5,10,10,10,82.17
774,Guatemala,oriente,The Coffee Source Inc.,Caturra,7.25,7.75,7,7.75,8.17,7.75,10,10,9.33,82.17
775,Mexico,altotonga,SALVADOR CARO CARRION,Typica,7.5,7.58,7.25,7.5,7.5,7.33,10,10,10,82.17
776,Mexico,colima,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,7,7.67,7.5,7.5,7.42,7.5,10,10,10,82.17
777,Colombia,huila,Exportadora de Cafe Condor S.A,,7.58,7.67,7.42,7.17,7.17,7.75,10,10,10,82.17
778,Indonesia,aceh gayo,SanJava Coffee,Bourbon,7.5,7.5,7.42,7.42,7.5,7.42,10,10,10,82.08
779,Colombia,huila,Raúl Vargas,Caturra,7.75,7.58,7.42,7.67,7.83,7.58,9.33,9.33,10,82.08
780,Brazil,south of minas,Ipanema Coffees,Bourbon,7.42,7.58,7.42,7.5,7.42,7.25,10,10,10,82.08
781,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.25,7.25,7.58,7.58,7.25,7.92,10,10,10,82.08
782,Costa Rica,tres rios,"CAFETALERA INTERNACIONAL CAFINTER, S.A.",Caturra,7.75,7.42,7.42,7.25,7.17,7.42,10,10,10,82.08
783,"Tanzania, United Republic Of",kilimanjaro,Balam Hinyula,Bourbon,7.42,7.33,7.42,7.42,7.5,7.58,10,10,10,82.08
784,"Tanzania, United Republic Of",ngorogoro,Ngorogoro Convenant Estate,Other,7.42,7.5,7.5,7.33,7.33,7.5,10,10,10,82.08
785,Colombia,,Cafe Politico,,7.5,7.42,7.42,7.42,7.67,7.42,10,10,10,82.08
786,Costa Rica,turrialba,"CECA, S.A.",Caturra,7.58,7.33,7.33,7.33,7.5,7.67,10,10,10,82.08
787,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.25,7.58,7.58,7.25,7.5,7.42,10,10,10,82.08
788,Mexico,coatepec,"El Equimite, Cafetal Biodinámico",Typica,7.42,7.58,7.5,7.33,7.42,7.42,10,10,10,82.08
789,Mexico,tapachula,JULIO PEREZ HERNANDEZ,Typica,7.5,7.42,7.42,7.5,7.25,7.5,10,10,10,82.08
790,Mexico,coatepec,ROSA AURORA FALCON FERNANDEZ,Typica,7.67,7.5,7.25,7.58,7.42,7.33,10,10,10,82.08
791,Vietnam,don duong,Royal Base Corporation,Other,7.67,8,7.17,7.08,7.67,7.08,10,10,10,82.08
792,Mexico,veracruz,SERGIO DE LA VEQUIA BERNARDI,Typica,7.58,7.42,7.25,7.75,7.33,7.42,10,10,10,82.08
793,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.33,7.5,7.33,7.58,7.08,7.83,10,10,10,82.08
794,Colombia,cauca,CARCAFE LTDA CI,,7.67,7.42,7.67,7.33,7.25,7.58,10,10,10,82.08
795,Honduras,el paraíso,Bismarck Castro,Caturra,7.5,7.5,7.17,7.5,7.5,7.42,10,10,10,82
796,Honduras,guinope el paraíso,Bismarck Castro,Caturra,7.5,7.5,7.25,7.33,7.42,7.5,10,10,10,82
797,Brazil,south of minas,Ipanema Coffees,Bourbon,7.5,7.33,7.42,7.5,7.33,7.42,10,10,10,82
798,"Tanzania, United Republic Of",kilimanjaro,Didas,Other,7.67,7.33,7.33,7.42,7.42,7.42,10,10,10,82
799,Laos,lao p.d.r.,Minwook Ku,Other,7.42,7.5,7.25,7.33,7.5,7.5,10,10,10,82
800,"Tanzania, United Republic Of",meru,Finca Estate,Other,7.42,7.42,7.33,7.58,7.33,7.42,10,10,10,82
801,Malawi,mzuzu,AFCA,Gesha,7.5,7.42,7.33,7.58,7.33,7.5,10,10,10,82
802,Taiwan,"dongshan dist., tainan city 臺南市東山區","Lin, Che-Hao Krude 林哲豪",Typica,7.33,7.5,7.17,7.42,7.5,7.33,10,10,10,82
803,Thailand,thailand,Doi Tung Development Project,,7.58,7.5,7.42,7.42,7.33,7.42,10,10,10,82
804,Costa Rica,central valley,Eric Thormaehlen,Catuai,7.5,7.25,7.33,7.33,7.75,7.5,10,10,10,82
805,Honduras,occidental,Beneficio Santa Rosa,Caturra,7.33,7.33,7.33,7.5,7.5,7.83,10,10,10,82
806,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.33,7.33,7.58,7.5,7.5,7.58,10,10,10,82
807,Taiwan,"dongshan dist., tainan city 臺南市東山區","Lin, Che-Hao Krude 林哲豪",Typica,7.42,7.58,7.33,7.42,8,7.5,9.33,10,10,82
808,Brazil,"minas gerais, br",Owen Carver,Mundo Novo,7.33,7.67,7.42,7.17,7.33,7.42,10,10,10,82
809,Mexico,coscomatepec,JORGE OCTAVIO ESCAMILLA PRADO,Typica,7.67,7.33,7.25,7.5,7.42,7.42,10,10,10,82
810,Brazil,south of minas,NUCOFFEE,Mundo Novo,7.42,7.5,7.33,7.5,7.33,7.5,10,10,10,82
811,Brazil,cerrado,NUCOFFEE,Catuai,7.42,7.5,7.25,7.5,7.5,7.42,10,10,10,82
812,Guatemala,san marcos,Juan Luis Alvarado Romero,Bourbon,7.33,7.33,7.33,7.5,7.67,7.67,10,10,10,82
813,Brazil,south of minas,NUCOFFEE,Mundo Novo,7.58,7.5,7.17,7.5,7.5,7.42,10,10,10,82
814,Guatemala,oriente,Felipe Isaza,Bourbon,7.75,7.33,7.33,7.42,7.75,7.67,10,10,9.33,82
815,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.33,7,7.08,7.42,7.5,7.67,10,10,10,82
816,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10,10,81.92
817,Guatemala,santa rosa,Juan Luis Alvarado Romero,Bourbon,7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,81.92
818,Honduras,comayagua,Bismarck Castro,Caturra,7.58,7.5,7.25,7.33,7.42,7.5,10,10,10,81.92
819,Brazil,monte carmelo,Gabriel Barbara,Catuai,7.42,7.33,7.33,7.5,7.5,7.33,10,10,10,81.92
820,El Salvador,"el balsamo, quezaltepec",Consejo Salvadoreño del Café,Bourbon,7.67,7.58,7.33,7.5,7.5,7.67,10,10,9.33,81.92
821,Guatemala,nuevo oriente,Juan Luis Alvarado Romero,Catuai,7.58,7.58,7.17,7.83,7.17,7.33,10,10,10,81.92
822,"Tanzania, United Republic Of",mbeya,Mcomafa Co Ltd,Other,7.33,7.33,7.33,7.42,7.5,7.58,10,10,10,81.92
823,Nicaragua,,Chris Finch,,7.58,7.42,7.25,7.17,7.5,7.67,10,10,10,81.92
824,Zambia,mubuyu estate,LUSSO LAB,SL28,7.67,7.08,7.42,7.33,7.75,7.42,10,10,10,81.92
825,Honduras,,Rob Tuttle,,7.42,7.33,7.33,7.58,7.33,7.5,10,10,10,81.92
826,Taiwan,taichung xinshe 台中市新社區,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.5,7.5,7.42,7.25,7.5,7.5,10,10,10,81.92
827,Mexico,chiapas,CALIXTO GUILLEN VAZQUEZ,Bourbon,7.58,7.5,7.25,7.58,7.5,7.25,10,10,10,81.92
828,Mexico,"chapulhuacan, hidalgo",SAUL M. HERNANDEZ RAMIREZ,Typica,7.5,7.5,7.25,7.25,7.5,7.5,10,10,10,81.92
829,Mexico,"huazalingo, hidalgo",SAUL M. HERNANDEZ RAMIREZ,Mundo Novo,7.5,7.42,7.25,7.5,7.33,7.33,10,10,10,81.92
830,Mexico,veracruz,JUAN HERMILIO SAMPIERI CARCAMO,Other,7.33,7.58,7.17,7.58,7.42,7.33,10,10,10,81.92
831,Mexico,fortín de las flores,MODESTO LANDEROS FLORES,Bourbon,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10,10,81.92
832,Brazil,grama valley,NUCOFFEE,Mundo Novo,7.42,7.58,7.25,7.5,7.33,7.5,10,10,10,81.92
833,Colombia,cundinamarca,Exportadora de Cafe Condor S.A,,7.67,7.33,7.33,7.58,7.33,7.33,10,10,10,81.92
834,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.42,7.5,7.25,7.5,7.33,7.42,10,10,10,81.83
835,Costa Rica,tarrazu,Troy Quimby,Catuai,7.25,7.33,7.5,7.33,7.67,7.42,10,10,10,81.83
836,Brazil,monte carmelo,Gabriel Barbara,Mundo Novo,7.42,7.5,7.42,7.5,7.42,7.25,10,10,10,81.83
837,Indonesia,bali,Aulia Arif Syahri,Other,7.75,7.83,7.58,7.75,7.92,7.83,10,10,10,81.83
838,Guatemala,norte,Juan Luis Alvarado Romero,Bourbon,7.58,7.5,7.33,7.42,7.58,7.25,10,10,10,81.83
839,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.17,7.58,6.83,7.5,7.75,7.25,10,10,10,81.83
840,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.58,7,6.92,6.92,7.67,7.5,10,10,10,81.83
841,Myanmar,ywar ngan,U Mg Mg,Catuai,7.33,7.58,7.5,7.42,7.33,7.33,10,10,10,81.83
842,Mexico,chiapas,VIRIDIANA,Catuai,7.58,7.5,7.33,7.5,7.17,7.33,10,10,10,81.83
843,Honduras,marcala,CADEXSA,Catuai,7.5,7.5,7.33,7.5,7.42,7.25,10,10,10,81.83
844,Costa Rica,tres rios,"CAFETALERA INTERNACIONAL CAFINTER, S.A.",Caturra,7.67,7.5,7.5,7.25,7.08,7.42,10,10,10,81.83
845,Taiwan,"dongshan dist., tainan city 臺南市東山區","Lin, Che-Hao Krude 林哲豪",Typica,7.67,7.33,7.17,7.25,7.75,7.33,10,10,10,81.83
